quarter,NCN_sales_est
2005-Q1,18702
2005-Q2,22122
2005-Q3,34660
2005-Q4,24577
2006-Q1,20840
2006-Q2,35000
2006-Q3,48387
2006-Q4,42197
2007-Q1,29801
2007-Q2,57462
2007-Q3,63409
2007-Q4,60470
2008-Q1,40446
2008-Q2,54576
2008-Q3,54635
2008-Q4,48859
2009-Q1,31236
2009-Q2,34480
2009-Q3,41106
2009-Q4,25178
2010-Q1,10811
2010-Q2,24379
2010-Q3,36891
2010-Q4,21772
2011-Q1,16224
2011-Q2,35401
2011-Q3,46828
2011-Q4,44231
2012-Q1,22097
2012-Q2,40129
2012-Q3,53544
2012-Q4,41031
2013-Q1,26293
2013-Q2,47756
2013-Q3,57529
2013-Q4,32725
2014-Q1,21549
2014-Q2,40884
2014-Q3,51538
2014-Q4,37768
2015-Q1,25773
2015-Q2,40420
2015-Q3,43093
2015-Q4,30209
2016-Q1,25796
2016-Q2,42808
2016-Q3,55093
2016-Q4,45594
2017-Q1,37721
2017-Q2,58932
2017-Q3,69123
2017-Q4,51782
2018-Q1,40199
2018-Q2,57832
2018-Q3,60553
2018-Q4,52000
2019-Q1,31421
2019-Q2,61601
2019-Q3,66551
2019-Q4,53727
2020-Q1,47534
2020-Q2,73062
2020-Q3,70453
2020-Q4,50625
2021-Q1,46978
2021-Q2,65862
2021-Q3,84815
2021-Q4,74396
2022-Q1,64830
2022-Q2,79817
2022-Q3,85235
2022-Q4,79376
2023-Q1,46742
2023-Q2,76021
2023-Q3,75548
2023-Q4,73766
